,zip,city,pop,state,loc
0,1001,AGAWAM,15338,MA,"['-72.622739', '42.070206']"
1,1002,CUSHMAN,36963,MA,"['-72.51565', '42.377017']"
2,1005,BARRE,4546,MA,"['-72.108354', '42.409698']"
3,1007,BELCHERTOWN,10579,MA,"['-72.410953', '42.275103']"
4,1008,BLANDFORD,1240,MA,"['-72.936114', '42.182949']"
5,1010,BRIMFIELD,3706,MA,"['-72.188455', '42.116543']"
6,1011,CHESTER,1688,MA,"['-72.988761', '42.279421']"
7,1012,CHESTERFIELD,177,MA,"['-72.833309', '42.38167']"
8,1013,CHICOPEE,23396,MA,"['-72.607962', '42.162046']"
9,1020,CHICOPEE,31495,MA,"['-72.576142', '42.176443']"
10,1022,WESTOVER AFB,1764,MA,"['-72.558657', '42.196672']"
11,1026,CUMMINGTON,1484,MA,"['-72.905767', '42.435296']"
12,1027,MOUNT TOM,16864,MA,"['-72.679921', '42.264319']"
13,1028,EAST LONGMEADOW,13367,MA,"['-72.505565', '42.067203']"
14,1030,FEEDING HILLS,11985,MA,"['-72.675077', '42.07182']"
15,1031,GILBERTVILLE,2385,MA,"['-72.198585', '42.332194']"
16,1032,GOSHEN,122,MA,"['-72.844092', '42.466234']"
17,1033,GRANBY,5526,MA,"['-72.520001', '42.255704']"
18,1034,TOLLAND,1652,MA,"['-72.908793', '42.070234']"
19,1035,HADLEY,4231,MA,"['-72.571499', '42.36062']"
20,1036,HAMPDEN,4709,MA,"['-72.431823', '42.064756']"
21,1038,HATFIELD,3184,MA,"['-72.616735', '42.38439']"
22,1039,HAYDENVILLE,1387,MA,"['-72.703178', '42.381799']"
23,1040,HOLYOKE,43704,MA,"['-72.626193', '42.202007']"
24,1050,HUNTINGTON,2084,MA,"['-72.873341', '42.265301']"
25,1053,LEEDS,1350,MA,"['-72.703403', '42.354292']"
26,1054,LEVERETT,1748,MA,"['-72.499334', '42.46823']"
27,1056,LUDLOW,18820,MA,"['-72.471012', '42.172823']"
28,1057,MONSON,8194,MA,"['-72.319634', '42.101017']"
29,1060,FLORENCE,27939,MA,"['-72.654245', '42.324662']"
30,1068,OAKHAM,1503,MA,"['-72.051265', '42.348033']"
31,1069,PALMER,9778,MA,"['-72.328785', '42.176233']"
32,1070,PLAINFIELD,571,MA,"['-72.918289', '42.514393']"
33,1071,RUSSELL,608,MA,"['-72.840343', '42.147063']"
34,1072,SHUTESBURY,1533,MA,"['-72.421342', '42.481968']"
35,1073,SOUTHAMPTON,4478,MA,"['-72.719381', '42.224697']"
36,1075,SOUTH HADLEY,16699,MA,"['-72.581137', '42.237537']"
37,1077,SOUTHWICK,7667,MA,"['-72.770588', '42.051099']"
38,1080,THREE RIVERS,2425,MA,"['-72.362352', '42.181894']"
39,1081,WALES,1732,MA,"['-72.204592', '42.062734']"
40,1082,WARE,9808,MA,"['-72.258285', '42.261831']"
41,1085,MONTGOMERY,40117,MA,"['-72.754318', '42.129484']"
42,1089,WEST SPRINGFIELD,27537,MA,"['-72.641109', '42.115066']"
43,1092,WEST WARREN,4441,MA,"['-72.203639', '42.20734']"
44,1095,WILBRAHAM,12635,MA,"['-72.446415', '42.124506']"
45,1096,WILLIAMSBURG,2295,MA,"['-72.777989', '42.408522']"
46,1098,WORTHINGTON,877,MA,"['-72.931427', '42.384293']"
47,1103,SPRINGFIELD,2323,MA,"['-72.588735', '42.1029']"
48,1104,SPRINGFIELD,22115,MA,"['-72.577769', '42.128848']"
49,1105,SPRINGFIELD,14970,MA,"['-72.578312', '42.099931']"
50,1106,LONGMEADOW,15688,MA,"['-72.5676', '42.050658']"
51,1107,SPRINGFIELD,12739,MA,"['-72.606544', '42.117907']"
52,1108,SPRINGFIELD,25519,MA,"['-72.558432', '42.085314']"
53,1109,SPRINGFIELD,32635,MA,"['-72.554349', '42.114455']"
54,1118,SPRINGFIELD,14618,MA,"['-72.527445', '42.092937']"
55,1119,SPRINGFIELD,13040,MA,"['-72.51211', '42.12473']"
56,1128,SPRINGFIELD,3272,MA,"['-72.488903', '42.094397']"
57,1129,SPRINGFIELD,6831,MA,"['-72.487622', '42.122263']"
58,1151,INDIAN ORCHARD,8702,MA,"['-72.505048', '42.153225']"
59,1201,PITTSFIELD,50655,MA,"['-73.247088', '42.453086']"
60,1220,ADAMS,9901,MA,"['-73.117225', '42.622319']"
61,1222,ASHLEY FALLS,561,MA,"['-73.320195', '42.059552']"
62,1223,BECKET,1070,MA,"['-73.120325', '42.359363']"
63,1225,CHESHIRE,3094,MA,"['-73.157964', '42.561059']"
64,1226,DALTON,7357,MA,"['-73.160259', '42.475046']"
65,1230,GREAT BARRINGTON,10603,MA,"['-73.36065', '42.195922']"
66,1235,PERU,2559,MA,"['-73.092433', '42.434604']"
67,1236,HOUSATONIC,802,MA,"['-73.374544', '42.265296']"
68,1237,HANCOCK,2328,MA,"['-73.248737', '42.541961']"
69,1238,LEE,6916,MA,"['-73.231696', '42.298994']"
70,1240,LENOX,5001,MA,"['-73.271322', '42.364241']"
71,1243,MIDDLEFIELD,384,MA,"['-73.006226', '42.34795']"
72,1245,WEST OTIS,329,MA,"['-73.213452', '42.187847']"
73,1247,CLARKSBURG,19054,MA,"['-73.10999', '42.69865']"
74,1253,OTIS,1060,MA,"['-73.082093', '42.18988']"
75,1254,RICHMOND,1134,MA,"['-73.364457', '42.378398']"
76,1255,SANDISFIELD,651,MA,"['-73.116285', '42.109429']"
77,1256,SAVOY,632,MA,"['-73.023281', '42.576964']"
78,1257,SHEFFIELD,1839,MA,"['-73.361091', '42.100102']"
79,1258,SOUTH EGREMONT,135,MA,"['-73.456575', '42.101153']"
80,1259,SOUTHFIELD,622,MA,"['-73.260933', '42.078014']"
81,1262,STOCKBRIDGE,2200,MA,"['-73.322263', '42.30104']"
82,1266,WEST STOCKBRIDGE,1173,MA,"['-73.38251', '42.334752']"
83,1267,WILLIAMSTOWN,8220,MA,"['-73.20364', '42.708883']"
